symbol,ok,priceBRL,status,message
CRFF11,0,,0,"fetch failed"
CXAG11,0,,0,"fetch failed"
CXCI11,0,,0,"fetch failed"
CXCO11,0,,0,"fetch failed"
CYCR11,0,,0,"fetch failed"
DAMA11,0,,0,"fetch failed"
DPRO11,0,,0,"fetch failed"
DVFF11,0,,0,"fetch failed"
EGAF11,0,,0,"fetch failed"
EGYR11,0,,0,"fetch failed"
ENDD11,0,,0,"fetch failed"
EQIR11,0,,0,"fetch failed"
EXES11,0,,0,"fetch failed"
FAED11,0,,0,"fetch failed"
FATN11,0,,0,"fetch failed"
FCFL11,0,,0,"fetch failed"
FIGS11,0,,0,"fetch failed"
FIIB11,0,,0,"fetch failed"
FIND11,0,,0,"fetch failed"
FIXA11,0,,0,"fetch failed"
FLCR11,0,,0,"fetch failed"
FMOF11,0,,0,"fetch failed"
FNAM11,0,,0,"fetch failed"
FVPQ11,0,,0,"fetch failed"
GAME11,0,,0,"fetch failed"
GARE11,0,,0,"fetch failed"
GCRA11,0,,0,"fetch failed"
GENB11,0,,0,"fetch failed"
GRWA11,0,,0,"fetch failed"
GSFI11,0,,0,"fetch failed"
GZIT11,0,,0,"fetch failed"
HABT11,0,,0,"fetch failed"
HBCR11,0,,0,"fetch failed"
HCTR11,0,,0,"fetch failed"
HOFC11,0,,0,"fetch failed"
HRDF11,0,,0,"fetch failed"
HREC11,0,,0,"fetch failed"
HTMX11,0,,0,"fetch failed"
IFIX11,0,,0,"fetch failed"
ITIP11,0,,0,"fetch failed"
ITRI11,0,,0,"fetch failed"
JFLL11,0,,0,"fetch failed"
JGPX11,0,,0,"fetch failed"
JPPA11,0,,0,"fetch failed"
JSAF11,0,,0,"fetch failed"
JURO11,0,,0,"fetch failed"
KDIF11,0,,0,"fetch failed"
KISU11,0,,0,"fetch failed"
KIVO11,0,,0,"fetch failed"
LASC11,0,,0,"fetch failed"
LIFE11,0,,0,"fetch failed"
LSAG11,0,,0,"fetch failed"
MANA11,0,,0,"fetch failed"
MAXR11,0,,0,"fetch failed"
MCCI11,0,,0,"fetch failed"
MFII11,0,,0,"fetch failed"
MGHT11,0,,0,"fetch failed"
NAVT11,0,,0,"fetch failed"
NEWL11,0,,0,"fetch failed"
OGIN11,0,,0,"fetch failed"
OIAG11,0,,0,"fetch failed"
OUJP11,0,,0,"fetch failed"
PABY11,0,,0,"fetch failed"
PATC11,0,,0,"fetch failed"
PATL11,0,,0,"fetch failed"
PEMA11,0,,0,"fetch failed"
